前大,['前大']
红磨坊,['Moulin Rouge']
酒酣舞,['酒酣舞']
狂放,"['unruly or unrestrained', 'wild or undisciplined']"
罗韦马,['罗韦马']
领先者,"['leader', 'front runner']"
两难,['be in a dilemma']
夜生活,['night life']
轻佻,"['frivolous', 'skittish', 'coquettish', 'giddy']"
加热管,"['heating tube', 'heating pipe']"
远红外,['far IR(far infrared)']
石英管,"['quartz tube', 'silica tube']"
青如天,['青如天']
明如镜,['明如镜']
薄如纸,['薄如纸']
声如磬,['声如磬']
略知,"['inkling', 'twilight', 'smattering']"
戈尔茨,['Golz']
别哭,['do not cry']
心肝儿,['心肝儿']
中显式,['中显式']
手机软件,['mobile software']
新一波,['新一波']
绕开,['steer clear of']
菲菲说,['菲菲说']
王摩,['王摩']
诘,"['scold', 'interrogate', 'restrain', 'closely question']"
画中有诗,['There is poetry in a painting.']
诗中有画,['painting in the poem']
九层,['nine layers']
之台,['之台']
起于,"['arise from', 'arise out of']"
垒土,['垒土']
技改,['technically improve']
所罗门,['Solomon']
圣殿,['Temple of God']
太好,"['very good', 'very nice']"
音讯,"['message', 'news', 'mail', 'tidings']"
许世勋,['许世勋']
皮肤科,['dermatology department']
华灯初上,['when the evening lights are lit']
有何感想,['有何感想']
四足,"['four-footed', 'four feet']"
废置,['put aside as useless']
柳工,['柳工']
建筑设备,"['construction equipment', 'building implement', 'architectural equipment']"
占有率,['occupancy']
修饰语,['modifier']
萨尔塔,"['Sarta', 'Salta']"
觉浊,['觉浊']
逼人,"['pressing', 'threatening']"
贾宝玉,['Jia Baoyu']
嫁人,"['get married', 'marry somebody']"
尾盘,['remaining building']
性药物,['性药物']
打下基础,['打下基础']
生质,['生质']
及材,['及材']
宗,"['sect', 'purpose', 'ancestor', 'clan', 'family']"
乙酸乙酯,['ethyl acetate']
乙基,"['ethyl', 'Et']"
醚,['ether']
重新得到,"['retrieval', 'retrieve']"
大英,['Daying County（地名）']
阅读室,['reading room']
站址,['site location']
苏醒过来,"[""come to one's senses"", 'come to life', 'come round', 'come to sense']"
妖魔,"['demon', 'evil spirit']"
希达,['Hida']
这年头,['这年头']
调子,"['tune', 'melody']"
七只,['七只']
肥牛,['beef fat']
瘦牛,['leptobos']
波兰议会,['波兰议会']
众院,['众院']
议席,['seat in legislative assembly']
参院,['参院']
寿光,['the City of Shouguang']
探索者,"['pathfinder', 'explorer']"
见异思迁,['change about']
定量化,"['quantification', 'quantify']"
严紧,"['tight', 'close']"
精选集,['omnibus']
核子武器,['核子武器']
施瓦泽,['施瓦泽']
附加赛,"['playoffs', 'play-offs']"
出过,['出过']
点球,"['penalty kick', 'point sphere']"
却不曾,['却不曾']
靠拢,"['draw close', 'close up']"
越靠,['越靠']
越近,['越近']
我军,['our army']
舱内,"['cabin', 'UD(under deck)']"
雪上,['雪上']
多能性,"['pluripotency', 'versatility']"
说错,"['missay', 'misstate', 'misspeak']"
做作业,['do homework']
方在,['方在']
见过面,['met（met是meet的过去式）']
为数,"['number', 'amount to']"
时至,['时至']
时尚杂志,['fashion magazine']
公路交通,"['highway traffic', 'road traffic']"
转速表,"['tachometer', 'revolution meter']"
汽车漆,['automotive coating']
足足,"['fully', 'a good']"
共沉淀,['coprecipitation']
年满,['over']
稳相点,['稳相点']
磁力,"['magnetism', 'magnetic force']"
核非,['核非']
核外区,['核外区']
宣告无效,"['avoidance', 'annul', 'revoke', 'declaration of avoidance']"
色环,['chromatic circle']
